Country Code,State Code,ZIP/Postcode,City,Rate %,Tax Name,Priority,Compound,Shipping,Tax Class
US,NJ,08807,08807,6.6250,NJ Tax,1,0,1,
US,NJ,08807,HAMPTON,6.6250,NJ Tax,1,0,1,
